<TICKER>;<DATE>;<OPEN>;<CLOSE>
EURRUB;20210802;86,756;86,5815
EURRUB;20210803;86,5731;86,495
EURRUB;20210804;86,4902;86,5822
EURRUB;20210805;86,5785;86,4846
EURRUB;20210806;86,4827;86,452
EURRUB;20210808;86,231;86,3035
EURRUB;20210809;86,3011;86,3775
EURRUB;20210810;86,3775;86,52
EURRUB;20210811;86,5401;86,0957
EURRUB;20210812;86,218;86,2248
EURRUB;20210813;86,2249;86,321
EURRUB;20210815;86,491;86,2696
EURRUB;20210816;86,2696;86,323
EURRUB;20210817;86,212;86,1084
EURRUB;20210818;86,0857;86,3612
EURRUB;20210819;86,3617;86,6609
EURRUB;20210820;86,6646;86,896
EURRUB;20210822;86,877;86,6995
EURRUB;20210823;86,702;86,9435
EURRUB;20210824;86,9037;86,5651
EURRUB;20210825;86,602;86,927
EURRUB;20210826;86,852;87,2113
EURRUB;20210827;87,2458;86,616
EURRUB;20210829;86,638;86,63
EURRUB;20210830;86,656;86,4893
EURRUB;20210831;86,4893;86,4555
EURRUB;20210901;86,56;86,3708
EURRUB;20210902;86,447;86,383
EURRUB;20210903;86,743;86,504
EURRUB;20210905;86,505;86,4627
EURRUB;20210906;86,4631;86,6009
EURRUB;20210907;86,6009;86,8842
EURRUB;20210908;86,8834;86,446
EURRUB;20210909;86,387;86,136
EURRUB;20210910;86,163;86,343
EURRUB;20210912;86,426;86,359
EURRUB;20210913;86,28;85,692
EURRUB;20210914;85,774;85,9625
EURRUB;20210915;85,9331;85,2744
EURRUB;20210916;85,3504;85,1693
EURRUB;20210917;85,282;85,453
EURRUB;20210919;85,472;85,437
EURRUB;20210920;85,52;85,884
EURRUB;20210921;86,5842;85,52
EURRUB;20210922;85,587;85,308
EURRUB;20210923;85,301;85,2348
EURRUB;20210924;85,2511;85,551
EURRUB;20210926;85,17;85,097
EURRUB;20210927;85,0783;84,7787
EURRUB;20210928;84,81;85,0126
EURRUB;20210929;85,0126;84,3921
EURRUB;20210930;84,3918;84,0512
EURRUB;20211001;84,192;84,324
EURRUB;20211003;84,344;84,3094
EURRUB;20211004;84,456;84,1228
EURRUB;20211005;84,0704;83,7761
EURRUB;20211006;83,7761;83,6016
EURRUB;20211007;83,5921;82,9326
EURRUB;20211008;82,9383;83,11
EURRUB;20211010;83,108;82,9788
EURRUB;20211011;82,9788;82,9837
EURRUB;20211012;82,9837;82,7981
EURRUB;20211013;82,7987;83,4944
EURRUB;20211014;83,4931;82,701
EURRUB;20211015;82,701;82,486
EURRUB;20211017;82,34;82,2733
EURRUB;20211018;82,2738;82,6848
EURRUB;20211019;82,6231;82,3612
EURRUB;20211020;82,3778;82,4588
EURRUB;20211021;82,4595;82,6032
EURRUB;20211022;82,5803;81,714
EURRUB;20211024;81,693;81,688
EURRUB;20211025;81,8121;80,887
EURRUB;20211026;80,9391;80,414
EURRUB;20211027;80,468;81,822
EURRUB;20211028;81,803;81,889
EURRUB;20211029;81,889;81,961
EURRUB;20211031;80,882;81,8537
EURRUB;20211101;81,872;82,998
EURRUB;20211102;83,003;82,827
EURRUB;20211103;82,826;83,196
EURRUB;20211104;83,2236;82,545
EURRUB;20211105;82,4499;82,463
EURRUB;20211107;82,154;82,045
EURRUB;20211108;82,382;82,4408
EURRUB;20211109;82,46;81,963
EURRUB;20211110;81,963;81,754
EURRUB;20211111;81,752;81,873
EURRUB;20211112;81,874;83,382
EURRUB;20211114;83,668;83,196
EURRUB;20211115;83,0711;82,292
EURRUB;20211116;82,292;82,6864
EURRUB;20211117;82,6862;82,109
EURRUB;20211118;82,109;83,0061
EURRUB;20211119;83,027;82,996
EURRUB;20211121;82,951;82,689
EURRUB;20211122;82,734;84,2243
EURRUB;20211123;84,236;83,454
EURRUB;20211124;83,454;83,8395
