<TICKER>;<DATE>;<OPEN>;<CLOSE>
JPYRUB;20210802;0,666351298387611;0,667854233968757
JPYRUB;20210803;0,667761213152861;0,668608758682069
JPYRUB;20210804;0,669272697241645;0,667829167199226
JPYRUB;20210805;0,668638048459839;0,666541524666946
JPYRUB;20210806;0,666559151541658;0,666642475483748
JPYRUB;20210808;0,666322107973814;0,666801799350638
JPYRUB;20210809;0,666799078558343;0,667217231282465
JPYRUB;20210810;0,667326867295141;0,668774471240358
JPYRUB;20210811;0,668753786200599;0,665114066718611
JPYRUB;20210812;0,665099570551036;0,665840270292303
JPYRUB;20210813;0,665888214512184;0,669152140184357
JPYRUB;20210815;0,667572943087057;0,667720572137488
JPYRUB;20210816;0,667664927388163;0,669448027886806
JPYRUB;20210817;0,670217476829614;0,671283404395183
JPYRUB;20210818;0,671835087687265;0,672408707289761
JPYRUB;20210819;0,671928914137966;0,67683681185034
JPYRUB;20210820;0,676894274131098;0,676644796792418
JPYRUB;20210822;0,677598723210214;0,675643045097379
JPYRUB;20210823;0,675546714251898;0,67553567846527
JPYRUB;20210824;0,675540237430932;0,672237715077282
JPYRUB;20210825;0,672230171243176;0,671131620822914
JPYRUB;20210826;0,671085246646965;0,675030441815241
JPYRUB;20210827;0,674593582741919;0,668827975594208
JPYRUB;20210829;0,669581451260382;0,666323818539285
JPYRUB;20210830;0,668378799049725;0,667620199741682
JPYRUB;20210831;0,667552548045877;0,666092115903577
JPYRUB;20210901;0,666179637454;0,662870612600828
JPYRUB;20210902;0,662825299070769;0,665375100050935
JPYRUB;20210903;0,668567634432074;0,663975495022426
JPYRUB;20210905;0,664155571767281;0,663011140564224
JPYRUB;20210906;0,663001457460375;0,664471863048625
JPYRUB;20210907;0,664462170258876;0,665038896041489
JPYRUB;20210908;0,665036493041389;0,664753808327058
JPYRUB;20210909;0,664760798758857;0,663522574062602
JPYRUB;20210910;0,663505511524096;0,665719224820308
JPYRUB;20210912;0,666176042235573;0,664400473071325
JPYRUB;20210913;0,664962653638655;0,660168189463157
JPYRUB;20210914;0,660186010146008;0,664254853705223
JPYRUB;20210915;0,664216637955393;0,660497517895834
JPYRUB;20210916;0,66051269861586;0,660023521474742
JPYRUB;20210917;0,659969369894983;0,663225806451613
JPYRUB;20210919;0,662556404657933;0,662057143896406
JPYRUB;20210920;0,660515786410592;0,669432362293944
JPYRUB;20210921;0,67126068083162;0,66820455503234
JPYRUB;20210922;0,668249198350893;0,664595702057913
JPYRUB;20210923;0,664551406379472;0,658446337926033
JPYRUB;20210924;0,658379412244602;0,655734742738402
JPYRUB;20210926;0,657314890154597;0,656992344082915
JPYRUB;20210927;0,657035284770125;0,654028478731074
JPYRUB;20210928;0,654052738775437;0,653348098201316
JPYRUB;20210929;0,653388629842181;0,650697707659597
JPYRUB;20210930;0,650700828129606;0,652407098383305
JPYRUB;20211001;0,652512918969353;0,653612461732397
JPYRUB;20211003;0,655258036615251;0,655883333783991
JPYRUB;20211004;0,655905497615807;0,652919971160779
JPYRUB;20211005;0,653432039578621;0,648369272720749
JPYRUB;20211006;0,648350031842278;0,649480279338635
JPYRUB;20211007;0,649876578670999;0,642769762589219
JPYRUB;20211008;0,642779867454773;0,639918014525687
JPYRUB;20211010;0,640944994205224;0,637744285892434
JPYRUB;20211011;0,639308649452673;0,633688165309956
JPYRUB;20211012;0,633524706546375;0,632664817016779
JPYRUB;20211013;0,632685075086978;0,635223922752387
JPYRUB;20211014;0,635201136744744;0,627211308687096
JPYRUB;20211015;0,626709771503369;0,621611208406305
JPYRUB;20211017;0,621525260485071;0,62091733650541
JPYRUB;20211018;0,621087489063867;0,622871642313413
JPYRUB;20211019;0,622904016099396;0,618294684640637
JPYRUB;20211020;0,618414045380337;0,619057609930938
JPYRUB;20211021;0,618586353105739;0,623447724617695
JPYRUB;20211022;0,623371398453971;0,619681826194254
JPYRUB;20211024;0,619600775535384;0,61918833796671
JPYRUB;20211025;0,617339667458432;0,613499235245513
JPYRUB;20211026;0,61355988818762;0,60770389573991
JPYRUB;20211027;0,60757448373706;0,62003375290064
JPYRUB;20211028;0,620765944729625;0,616483738942921
JPYRUB;20211029;0,616473176957268;0,622167543859649
JPYRUB;20211031;0,621681144160744;0,618628103224903
JPYRUB;20211101;0,618635106271228;0,627563568792785
JPYRUB;20211102;0,627543409092901;0,628436172826507
JPYRUB;20211103;0,628468882726666;0,627923694638286
JPYRUB;20211104;0,628646696297855;0,627686415067819
JPYRUB;20211105;0,627673237753883;0,627415343915344
JPYRUB;20211107;0,626850136720473;0,627116582799432
JPYRUB;20211108;0,627040793845232;0,628205128205128
JPYRUB;20211109;0,628960938051847;0,62607829244531
JPYRUB;20211110;0,626037515277114;0,625656693355808
JPYRUB;20211111;0,625642848990843;0,627591196071554
JPYRUB;20211112;0,627668698206691;0,640115942028986
JPYRUB;20211114;0,642035475939586;0,637995806318597
JPYRUB;20211115;0,636887633352049;0,634060002803869
JPYRUB;20211116;0,635432656923562;0,635692465687853
JPYRUB;20211117;0,635716461424655;0,635005429642344
JPYRUB;20211118;0,635792663169602;0,639012609270132
JPYRUB;20211119;0,639007743798399;0,645468263367987
JPYRUB;20211121;0,644955239599789;0,642608459489767
JPYRUB;20211122;0,642598189958034;0,652731074135378
JPYRUB;20211123;0,652722362575137;0,644120201493834
JPYRUB;20211124;0,645695352735294;0,648614456787342
