<TICKER>;<DATE>;<OPEN>;<CLOSE>
USDJPY;20210802;109,713;109,271
USDJPY;20210803;109,269;108,989
USDJPY;20210804;108,978;109,534
USDJPY;20210805;109,534;109,742
USDJPY;20210806;109,752;110,233
USDJPY;20210808;110,286;110,262
USDJPY;20210809;110,262;110,311
USDJPY;20210810;110,32;110,589
USDJPY;20210811;110,599;110,374
USDJPY;20210812;110,374;110,399
USDJPY;20210813;110,39;109,57
USDJPY;20210815;109,606;109,624
USDJPY;20210816;109,624;109,299
USDJPY;20210817;109,299;109,529
USDJPY;20210818;109,537;109,839
USDJPY;20210819;109,839;109,769
USDJPY;20210820;109,765;109,74
USDJPY;20210822;109,65;109,829
USDJPY;20210823;109,838;109,674
USDJPY;20210824;109,674;109,728
USDJPY;20210825;109,727;109,975
USDJPY;20210826;109,975;110,046
USDJPY;20210827;110,047;109,81
USDJPY;20210829;109,808;109,864
USDJPY;20210830;109,863;109,942
USDJPY;20210831;109,947;110,057
USDJPY;20210901;110,055;110,088
USDJPY;20210902;110,091;109,944
USDJPY;20210903;109,944;109,692
USDJPY;20210905;109,66;109,779
USDJPY;20210906;109,78;109,82
USDJPY;20210907;109,821;110,294
USDJPY;20210908;110,295;110,219
USDJPY;20210909;110,221;109,772
USDJPY;20210910;109,77;109,91
USDJPY;20210912;109,86;109,92
USDJPY;20210913;109,917;109,995
USDJPY;20210914;109,994;109,71
USDJPY;20210915;109,713;109,383
USDJPY;20210916;109,382;109,687
USDJPY;20210917;109,696;109,895
USDJPY;20210919;109,92;109,968
USDJPY;20210920;109,968;109,436
USDJPY;20210921;109,425;109,154
USDJPY;20210922;109,15;109,82
USDJPY;20210923;109,821;110,32
USDJPY;20210924;110,318;110,685
USDJPY;20210926;110,61;110,764
USDJPY;20210927;110,756;110,96
USDJPY;20210928;110,962;111,526
USDJPY;20210929;111,52;111,938
USDJPY;20210930;111,939;111,462
USDJPY;20211001;111,464;111,06
USDJPY;20211003;110,992;110,949
USDJPY;20211004;110,939;110,96
USDJPY;20211005;110,969;111,484
USDJPY;20211006;111,487;111,406
USDJPY;20211007;111,407;111,663
USDJPY;20211008;111,66;112,215
USDJPY;20211010;112,17;112,266
USDJPY;20211011;112,273;113,387
USDJPY;20211012;113,391;113,535
USDJPY;20211013;113,535;113,298
USDJPY;20211014;113,306;113,824
USDJPY;20211015;113,831;114,2
USDJPY;20211017;114,21;114,331
USDJPY;20211018;114,3;114,29
USDJPY;20211019;114,29;114,536
USDJPY;20211020;114,543;114,39
USDJPY;20211021;114,385;113,849
USDJPY;20211022;113,84;113,46
USDJPY;20211024;113,47;113,668
USDJPY;20211025;113,67;113,762
USDJPY;20211026;113,762;114,176
USDJPY;20211027;114,186;113,768
USDJPY;20211028;113,768;113,615
USDJPY;20211029;113,615;114
USDJPY;20211031;113,97;114,236
USDJPY;20211101;114,236;114,089
USDJPY;20211102;114,089;113,964
USDJPY;20211103;113,956;114,068
USDJPY;20211104;114,069;113,832
USDJPY;20211105;113,832;113,4
USDJPY;20211107;113,37;113,473
USDJPY;20211108;113,473;113,256
USDJPY;20211109;113,256;112,91
USDJPY;20211110;112,914;113,904
USDJPY;20211111;113,907;114,04
USDJPY;20211112;114,035;113,85
USDJPY;20211114;113,88;113,981
USDJPY;20211115;113,984;114,128
USDJPY;20211116;114,132;114,901
USDJPY;20211117;114,905;114,188
USDJPY;20211118;114,191;114,281
USDJPY;20211119;114,285;113,985
USDJPY;20211121;113,94;114,144
USDJPY;20211122;114,141;114,79
USDJPY;20211123;114,79;115,14
USDJPY;20211124;115,143;115,406
