<TICKER>;<DATE>;<OPEN>;<CLOSE>
USDRUB;20210802;73,1074;72,9771
USDRUB;20210803;72,9656;72,871
USDRUB;20210804;72,936;73,15
USDRUB;20210805;73,2386;73,1476
USDRUB;20210806;73,1562;73,486
USDRUB;20210808;73,486;73,5229
USDRUB;20210809;73,5226;73,6014
USDRUB;20210810;73,6195;73,9591
USDRUB;20210811;73,9635;73,4113
USDRUB;20210812;73,4097;73,5081
USDRUB;20210813;73,5074;73,319
USDRUB;20210815;73,17;73,1982
USDRUB;20210816;73,1921;73,17
USDRUB;20210817;73,2541;73,525
USDRUB;20210818;73,5908;73,8567
USDRUB;20210819;73,804;74,2957
USDRUB;20210820;74,2993;74,255
USDRUB;20210822;74,2987;74,2052
USDRUB;20210823;74,2007;74,0887
USDRUB;20210824;74,0892;73,7633
USDRUB;20210825;73,7618;73,8077
USDRUB;20210826;73,8026;74,2844
USDRUB;20210827;74,237;73,444
USDRUB;20210829;73,5254;73,205
USDRUB;20210830;73,4301;73,3995
USDRUB;20210831;73,3954;73,3081
USDRUB;20210901;73,3164;72,9741
USDRUB;20210902;72,9711;73,154
USDRUB;20210903;73,505;72,8328
USDRUB;20210905;72,8313;72,7847
USDRUB;20210906;72,7843;72,9723
USDRUB;20210907;72,9719;73,3498
USDRUB;20210908;73,3502;73,2685
USDRUB;20210909;73,2706;72,8362
USDRUB;20210910;72,833;73,1692
USDRUB;20210912;73,1861;73,0309
USDRUB;20210913;73,0907;72,6152
USDRUB;20210914;72,6165;72,8754
USDRUB;20210915;72,8732;72,2472
USDRUB;20210916;72,2482;72,396
USDRUB;20210917;72,396;72,8852
USDRUB;20210919;72,8282;72,8051
USDRUB;20210920;72,6356;73,26
USDRUB;20210921;73,4527;72,9372
USDRUB;20210922;72,9394;72,9859
USDRUB;20210923;72,9817;72,6398
USDRUB;20210924;72,6311;72,58
USDRUB;20210926;72,7056;72,7711
USDRUB;20210927;72,7706;72,571
USDRUB;20210928;72,575;72,8653
USDRUB;20210929;72,8659;72,8378
USDRUB;20210930;72,8388;72,7186
USDRUB;20211001;72,7317;72,5902
USDRUB;20211003;72,7284;72,7696
USDRUB;20211004;72,7655;72,448
USDRUB;20211005;72,5107;72,2828
USDRUB;20211006;72,2826;72,356
USDRUB;20211007;72,4008;71,7736
USDRUB;20211008;71,7728;71,8084
USDRUB;20211010;71,8948;71,597
USDRUB;20211011;71,7771;71,852
USDRUB;20211012;71,836;71,8296
USDRUB;20211013;71,8319;71,9696
USDRUB;20211014;71,9721;71,3917
USDRUB;20211015;71,339;70,988
USDRUB;20211017;70,9844;70,9901
USDRUB;20211018;70,9903;71,188
USDRUB;20211019;71,1917;70,817
USDRUB;20211020;70,835;70,814
USDRUB;20211021;70,757;70,9789
USDRUB;20211022;70,9646;70,3091
USDRUB;20211024;70,3061;70,3819
USDRUB;20211025;70,173;69,7929
USDRUB;20211026;69,7998;69,3852
USDRUB;20211027;69,3765;70,54
USDRUB;20211028;70,6233;70,0418
USDRUB;20211029;70,0406;70,9271
USDRUB;20211031;70,853;70,6696
USDRUB;20211101;70,6704;71,5981
USDRUB;20211102;71,5958;71,6191
USDRUB;20211103;71,6178;71,626
USDRUB;20211104;71,7091;71,4508
USDRUB;20211105;71,4493;71,1489
USDRUB;20211107;71,066;71,1608
USDRUB;20211108;71,1522;71,148
USDRUB;20211109;71,2336;70,6905
USDRUB;20211110;70,6884;71,2648
USDRUB;20211111;71,2651;71,5705
USDRUB;20211112;71,5762;72,8772
USDRUB;20211114;73,115;72,7194
USDRUB;20211115;72,595;72,364
USDRUB;20211116;72,5232;73,0417
USDRUB;20211117;73,047;72,51
USDRUB;20211118;72,6018;73,027
USDRUB;20211119;73,029;73,5737
USDRUB;20211121;73,4862;73,3499
USDRUB;20211122;73,3468;74,927
USDRUB;20211123;74,926;74,164
USDRUB;20211124;74,3473;74,854
