<TICKER>;<DATE>;<OPEN>;<CLOSE>
UZSRUB;20210802;10637,43;10637,43
UZSRUB;20210803;10649;10649
UZSRUB;20210804;10641,98;10641,98
UZSRUB;20210805;10630;10550
UZSRUB;20210806;10613,18;10613,18
UZSRUB;20210808;10613,18;10613,18
UZSRUB;20210809;10634,79;10634,79
UZSRUB;20210810;10623;10623
UZSRUB;20210811;10646;10646
UZSRUB;20210812;10655,03;10655,03
UZSRUB;20210813;10667;10667
UZSRUB;20210815;10667;10667
UZSRUB;20210816;10678;10678
UZSRUB;20210817;10655;10655
UZSRUB;20210818;10647,31;10647,31
UZSRUB;20210819;10639;10639
UZSRUB;20210820;10627;10627
UZSRUB;20210822;10627;10627
UZSRUB;20210823;10635,6;10635,6
UZSRUB;20210824;10636,14;10636,14
UZSRUB;20210825;10629,35;10600
UZSRUB;20210826;10649,01;10649,01
UZSRUB;20210827;10635,74;10635,74
UZSRUB;20210829;10635,74;10635,74
UZSRUB;20210830;10646,89;10646,89
UZSRUB;20210831;10648,18;10648,18
UZSRUB;20210901;10648,18;10648,18
UZSRUB;20210902;10648,18;10648,18
UZSRUB;20210903;10648,18;10648,18
UZSRUB;20210905;10648,18;10648,18
UZSRUB;20210906;10666;10666
UZSRUB;20210907;10680,07;10680,07
UZSRUB;20210908;10690,23;10690,23
UZSRUB;20210909;10677,86;10677,86
UZSRUB;20210910;10663,09;10663,09
UZSRUB;20210912;10663,09;10663,09
UZSRUB;20210913;10650,91;10600
UZSRUB;20210914;10646,69;10646,69
UZSRUB;20210915;10660;10681,62
UZSRUB;20210916;10656;10701
UZSRUB;20210917;10676,06;10676,06
UZSRUB;20210919;10676,06;10676,06
UZSRUB;20210920;10669,08;10669,08
UZSRUB;20210921;10681,7;10681,7
UZSRUB;20210922;10683,1;10683,1
UZSRUB;20210923;10674,05;10674,05
UZSRUB;20210924;10665;10665
UZSRUB;20210926;10665;10665
UZSRUB;20210927;10645,06;10645,06
UZSRUB;20210928;10660,73;10660,73
UZSRUB;20210929;10670,61;10670,61
UZSRUB;20210930;10686,91;10686,91
UZSRUB;20211001;10686,91;10686,91
UZSRUB;20211003;10686,91;10686,91
UZSRUB;20211004;10687;10687
UZSRUB;20211005;10672,66;10672,66
UZSRUB;20211006;10683,06;10683,06
UZSRUB;20211007;10666,04;10666,04
UZSRUB;20211008;10672,89;10672,89
UZSRUB;20211010;10672,89;10672,89
UZSRUB;20211011;10675,37;10675,37
UZSRUB;20211012;10661;10661
UZSRUB;20211013;10679,01;10650
UZSRUB;20211014;10695,03;10695,03
UZSRUB;20211015;10705,63;10655
UZSRUB;20211017;10655;10655
UZSRUB;20211018;10700;10650
UZSRUB;20211019;10695,64;10695,64
UZSRUB;20211020;10697,31;10697,31
UZSRUB;20211021;10677,01;10652
UZSRUB;20211022;10687;10650
UZSRUB;20211024;10650;10650
UZSRUB;20211025;10698,02;10655
UZSRUB;20211026;10690;10640
UZSRUB;20211027;10678,68;10645
UZSRUB;20211028;10671;10640
UZSRUB;20211029;10678;10678
UZSRUB;20211031;10678;10678
UZSRUB;20211101;10669,21;10650
UZSRUB;20211102;10685,08;10655
UZSRUB;20211103;10707;10650
UZSRUB;20211104;10690,06;10690,06
UZSRUB;20211105;10675,4;10650
UZSRUB;20211107;10650;10650
UZSRUB;20211108;10700,26;10660
UZSRUB;20211109;10688;10688
UZSRUB;20211110;10675,09;10670
UZSRUB;20211111;10710,3;10710,3
UZSRUB;20211112;10727,04;10675
UZSRUB;20211114;10675;10675
UZSRUB;20211115;10732,06;10700
UZSRUB;20211116;10716,24;10705
UZSRUB;20211117;10735,8;10705
UZSRUB;20211118;10750,26;10748
UZSRUB;20211119;10763,1;10763,1
UZSRUB;20211121;10763,1;10763,1
UZSRUB;20211122;10736,33;10740
UZSRUB;20211123;10751,03;10745
UZSRUB;20211124;10760,12;10715
